Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_REGIO,SEXE
2021-01-01,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,285,18,2
2021-01-01,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,9,19,1
2021-01-01,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,7,19,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,1,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,1,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,2,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,2,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,91,3,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,76,3,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,4,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,4,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8,5,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,15,5,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,53,6,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,29,6,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,280,7,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,123,7,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,815,8,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,525,8,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,230,9,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,202,9,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,13,10,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5,10,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223,11,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,129,11,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,75,12,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,103,12,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,121,13,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,52,13,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,139,14,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,121,14,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,350,15,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,174,15,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,182,16,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,234,16,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,22825,17,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,18890,17,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,608,18,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,616,18,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,11,19,1
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,..,19,2
2021-01-01,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5,23,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,1,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5,1,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,2,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,46,3,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,81,3,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,4,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5,4,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,12,5,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28,5,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,47,6,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,34,6,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,134,7,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,55,7,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,657,8,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,499,8,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,95,9,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,72,9,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,6,10,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,10,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,146,11,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,118,11,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,70,12,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,112,12,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,44,13,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,21,13,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,58,14,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,47,14,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,248,15,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,141,15,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,153,16,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,163,16,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,14145,17,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,11983,17,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,380,18,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,350,18,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,9,19,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,8,19,2
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,23,1
2021-01-01,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,..,23,2
