Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NIV_EDUCA_esta,LLOC_NAIX
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,26,3,4
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,192,3,5
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,1608,4,1
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,140,4,2
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,242,4,3
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,62,4,4
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,227,4,5
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,1758,5,1
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,242,5,2
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,341,5,3
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,127,5,4
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,348,5,5
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,149,6,1
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,9,6,2
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,7,6,3
2021-01-01,7,Horta-Guinardó,36,la Font d'en Fargues,14,6,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,64,1,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,22,1,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,942,1,3
2021-01-01,7,Horta-Guinardó,37,el Carmel,..,1,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,17,1,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,1326,2,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,195,2,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,3916,2,3
2021-01-01,7,Horta-Guinardó,37,el Carmel,59,2,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,1248,2,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,4562,3,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,343,3,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,1712,3,3
2021-01-01,7,Horta-Guinardó,37,el Carmel,165,3,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,2319,3,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,..,3,6
2021-01-01,7,Horta-Guinardó,37,el Carmel,3262,4,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,225,4,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,669,4,3
2021-01-01,7,Horta-Guinardó,37,el Carmel,232,4,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,2238,4,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,1823,5,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,204,5,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,426,5,3
2021-01-01,7,Horta-Guinardó,37,el Carmel,337,5,4
2021-01-01,7,Horta-Guinardó,37,el Carmel,1516,5,5
2021-01-01,7,Horta-Guinardó,37,el Carmel,..,5,6
2021-01-01,7,Horta-Guinardó,37,el Carmel,358,6,1
2021-01-01,7,Horta-Guinardó,37,el Carmel,25,6,2
2021-01-01,7,Horta-Guinardó,37,el Carmel,14,6,3
