Territorio,Tipo de territorio,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
el Camp d'en Grassot i Gràcia Nova,Barri,2598.18,2350.13,2406.20,2640.42,3005.89,3455.11,4112.16,3884.49,3642.51,3921.12,3951.58,4041.32,4304.73,5010.50
Horta-Guinardó,Districte,2214.76,1769.59,1776.13,2069.91,2037.88,2464.15,2690.09,2647.63,2657.33,2810.58,2897.03,2832.80,3212.75,3423.16
el Baix Guinardó,Barri,2772.96,1962.13,2117.62,2444.70,2564.11,3064.68,3580.61,3194.48,3201.27,3399.91,3364.05,3452.18,3922.16,4105.47
Can Baró,Barri,2279.90,1357.80,1762.54,1826.57,2016.38,2453.77,2653.93,2679.32,2727.71,3089.66,2989.24,2734.36,3116.64,3396.95
el Guinardó,Barri,2152.11,1886.71,1835.60,2131.89,2241.85,2616.78,2731.80,3005.39,2888.40,3046.22,3277.05,3141.92,3478.84,3858.31
la Font d'en Fargues,Barri,2246.18,2585.21,2118.81,2111.62,2318.33,2879.63,3363.10,2738.59,3034.10,3415.24,2940.82,3077.73,3846.97,4029.05
el Carmel,Barri,1768.29,1283.11,1384.01,1910.77,1505.39,1936.38,2125.40,2087.37,2239.51,2213.26,2250.41,2238.51,2532.75,2845.30
la Teixonera,Barri,1730.67,1392.19,1441.47,1605.24,1690.25,2019.93,2221.84,2668.49,2308.32,2298.85,2619.92,2420.19,2686.50,3046.51
Sant Genís dels Agudells,Barri,2165.92,1544.17,1306.60,2020.61,1795.74,1988.39,2040.78,1963.11,1855.31,2257.40,2355.93,2112.85,2789.63,2475.84
Montbau,Barri,1919,1470,1597.96,1973.74,1847,2182.11,2357.29,2470.47,2492.91,2428.67,2512.18,2455.47,2694.14,3057.69
la Vall d'Hebron,Barri,2222.79,2223,2075.69,2502,2185.83,3113.76,3336.92,2822.26,3113,3442.85,3227.22,3404.30,3249.62,3723.15
la Clota,Barri,-,-,872.87,1709.29,758.47,-,-,-,-,-,-,-,3707.21,4667.57
Horta,Barri,2157.48,1760.45,1744.97,1910.31,2076.84,2378.85,2655.14,2732.51,2688.88,2678.20,2804.60,2920.80,3464.26,3267.53
Nou Barris,Districte,1667.79,1535.58,1398.28,1759.36,1621.14,1917.52,2174.43,2190.88,2098.16,2072.80,2478.69,2352.94,2499.15,2988.63
Vilapicina i la Torre Llobeta,Barri,1816.87,1621.38,1642.93,1884.82,2047.48,2459.72,2647.28,2772.84,2636.52,2843.18,2830.71,2969.36,3171.36,3611.28
Porta,Barri,1837.73,1825.88,1690.73,1942.38,1994.70,2383.03,2503.98,2620.79,2502.95,2697.23,2770.21,2564.41,2898.09,3471.81
el Turó de la Peira,Barri,1388.46,1513.08,1340.14,1941.16,1493.80,1811.90,2142.77,2105.61,1963.64,2097.37,2313.94,2488.58,2437,2949.62
Can Peguera,Barri,-,-,-,-,-,1715.83,-,2064.40,-,-,2264,2832.33,2267.40,-
la Guineueta,Barri,1985.72,1648.70,1760.36,1756.01,1834.15,2140.66,2360.95,2398.44,2242.54,2364.07,2680.56,2421.75,2687.78,3063.17
Canyelles,Barri,1484.06,1513.13,1186.24,1531.74,1584.10,1686.23,1952.79,1860.73,2002.16,1988.82,2126.57,2234.19,2413.72,2496.13
